accountId,DOTs contributed,Total PDEX rewards,Initial claimable factor,Factor
138ebFFjkvZYPtteYmBLSh5kWtByCTQE6kAqpx2HXebH5Gxt,10,20.54816,5.13704,0.00000318517
14r4GiHqDnxQ9B8mr9udhR2TYkFFAo1sKHSUvBjCXQbL29Sn,994,2042.487104,510.621776,0.000316606
17X8rdpbEHWgYUSLiKpHhvXAfDbkr5S5wSrbGLd55wYgBJV,5,10.27408,2.56852,0.00000159258
12bPy9hVWpZkdZ8UAuTNku1sfEG3Ju49djxN8tdqVwdudtZn,15,30.82224,7.70556,0.00000477775
1pot5ia9Cyh5oUpX7eJKps92rrPu7EUxJfwRZ3m8KfS7D82,9,18.493344,4.623336,0.00000286665
163LFvgv7pi4F9iyt23UpviERcdg9HzrobDDi6Hq3TNUqCfc,95,195.20752,48.80188,0.0000302591
13dfnVHg7UFFhuV8RHUyiinNLhFHg7Vgn1AKSi6Y36E221Zk,10,20.54816,5.13704,0.00000318517
1CXiM2vHezg2bHviYBXWLcrurj3KaaT5ssSXaM8uoroDVLs,101,207.536416,51.884104,0.0000321702
1PCfL4mnMp38jQZnvGwBB19B6p6NR8smpJPv6udvQKtSaBu,101,207.536416,51.884104,0.0000321702
19yNwj7g4TRRm1N5NExnFojXLqAJAvtz5GeccxHvBDSMHiH,101.5,208.563824,52.140956,0.0000323295
1Gph22h3ctC7J8MScieGNwBfZzUB5rprSuHUdkM2EeGHwhM,132,271.235712,67.808928,0.0000420442
16iMEZS8aLs7WY1DYTTrAQ6GRPaQYT8vSLp1y9LqZL6WoWji,101,207.536416,51.884104,0.0000321702
14Gi6rCmAUnsW5k52Q3MukoCqzZ5dYayURtu8abnYJpzkzTs,135,277.40016,69.35004,0.0000429998
12ENHg45gXgkEvnmnebdD16FyeE5kHBmQR5owfWuMqB2mkBB,10,20.54816,5.13704,0.00000318517
13v7QFdx2uF26SrNiRNJb4f2RR1o2a9G2i4ps1ZAGPWZVVpL,92,189.043072,47.260768,0.0000293036
14MZxw1egpyVBbahwsuqx747G5g2JmQh9nTf4cgzHM6MYuCy,5,10.27408,2.56852,0.00000159258
119Gez9T7L1XXZiztc9R4LGcBxPjxKXo5Gp4fDKaaYVs9Wn,140,287.67424,71.91856,0.0000445924
1joC5265zm6Uzfj6s3zZPehyfC1q5NpcDZZJApiW9tdvayX,70,143.83712,35.95928,0.0000222962
15ParvAis1fgrzkM98WNWSvKaryzJpQL4KjKwaS3z6L94KY7,70,143.83712,35.95928,0.0000222962
13obuZkvEszSNBH4Z9zJA3rvSc6Svrc82qupDqorahdjRQtm,30,61.64448,15.41112,0.00000955551
12y1NQpj6JSX9qWRftcwcAM9wqbJ9BURKLemAo7MW1ArLPjc,50,102.7408,25.6852,0.0000159258
16MFt3razn2G1gBv4FcQMHJpRpZ3eVryH8GmU7HCbrMyXcs8,1000,2054.816,513.704,0.000318517
14aadC64Enm3gwPHkNepu8dsC9UyVhGhd7hCzmXeVYBnQZRC,5,10.27408,2.56852,0.00000159258
13H5UAfyHyWjY9HjUb3D1qciyeDeKjZzCLBBmEj74nQYH6Nj,120,246.57792,61.64448,0.000038222
146VvP8Pc2yaw2EQXGTdDKNg5zLPMZpyPvYwWRba1gJevN8Z,5,10.27408,2.56852,0.00000159258
1gxBVhYyUbYbdWxXH48beneBsreiXzsusNV7TTS5yGG2uGb,26,53.425216,13.356304,0.00000828144
16f1NaPigGuuzNCMxfpw3AeFWzDrrZLAfazXQ4FvfyH87pPh,150,308.2224,77.0556,0.0000477775
16Q9uAFT6B19gg9Lcm9Qp8DB1m6Ua2Ffs9CZcZyrSYJAhSSY,5,10.27408,2.56852,0.00000159258
143DuQCZkZNSzHLf93PTeG4tiKBv1WvNE6ZLny5Bnwk44HHM,47.188,96.96265741,24.24066435,0.0000150302
16Pj9wrTtRuyqMuEGwhdaHHVTwHUypdoBKuhHeejmeSk6HuV,5,10.27408,2.56852,0.00000159258
13rbQKcuz6q3M6yxobqL9AUqSUyAr9kQgq4KsaZhRFS7BETs,20,41.09632,10.27408,0.00000637034
16FfwJ1M5dPC9msv1FJ7wUYuadqQneYZ1R5fnoUE2MDbW8Jo,12,24.657792,6.164448,0.0000038222
19SAUZk1mAHka6tjw4rm48jN3PimMa84q1UZGUM5aGT5yzo,6,12.328896,3.082224,0.0000019111
12xcE9wiHeoU5YhPA685uLHz27z5wPmRy9cQvCwc3etgGeKq,25.123,51.62314237,12.90578559,0.0000080021
14899oemXrqVXMnMCMvNbyqeFJsMg6CeqJL9Tm7nNHJp5pkg,5,10.27408,2.56852,0.00000159258
12x1Jp9vWYFRoAMoTm6rwAvWNKPgeRRxTtTbU3bho4P2FAJ2,740,1520.56384,380.14096,0.000235702
14E11YrWZqGjdznjdrAZkNoWbJFWR4NWGwraL8ikWds8UGK5,58,119.179328,29.794832,0.000018474
12doQ2atH2HyFRd8i7mSYD1Qrd7BNbhmFeMphAiRWunpYBwr,1336.04,2745.316369,686.3290922,0.000425551
14wfyNnAf6ya2hw2w6uxA6vbbUoTjMcPmmbR3r3KoWGeeYVk,30,61.64448,15.41112,0.00000955551
13Mxfhny1XQ4qUqMYDWNZzD7L9enjrC3pu2gEUtiYjiuAuRh,8,16.438528,4.109632,0.00000254813
